,N,P,K,temperature,humidity,ph,rainfall,label
800,32,76,15,28.05153602,63.49802189,7.604110177000001,43.35795377,lentil
801,13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil
802,38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil
803,11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil
804,37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,lentil
805,29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil
806,2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil
807,6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
808,13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
809,8,58,17,28.75273118,69.15640149,7.286049977999999,35.15426171,lentil
810,6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil
811,2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,lentil
812,3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil
813,27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil
814,39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
815,40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,lentil
816,37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil
817,31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,lentil
818,22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
819,3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil
820,4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil
821,13,61,24,18.29783597,69.6897615,7.629910252999999,49.39111479,lentil
822,12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
823,4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
824,9,60,21,29.94413861,67.31323084,7.52178027,40.37113729,lentil
825,18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil
826,32,56,18,20.0467711,65.84395319,7.135251532000001,46.05333124,lentil
827,6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil
