,Unnamed: 0,N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,humidity,rainfall,temperature,SumOFNPK,PerOfN,PerOfP,PerOfK,SumNPK,NStatus,PStatus,KStatus
0,0,143,69,217,5.9,0.58,0.23,10.2,116.35,59.96,54.85,21.29,82.00274423,202.9355362,20.87974371,429,33.33333333,16.08391608,50.58275058,429,0,1,0
1,1,170,36,216,5.9,0.15,0.28,15.69,114.2,56.87,31.28,28.62,80.31964408,226.6555374,21.77046169,422,40.28436019,8.530805687,51.18483412,422,0,0,0
2,2,158,66,219,6.8,0.34,0.2,15.29,65.87,51.81,57.12,27.59,82.3207629,263.9642476,23.00445915,443,35.66591422,14.89841986,49.43566591,443,0,0,0
3,3,133,45,207,6.4,0.94,0.21,8.48,103.1,43.81,68.5,47.29,80.15836264,242.8640342,26.49109635,385,34.54545455,11.68831169,53.76623377,385,0,0,0
4,4,132,48,218,6.7,0.54,0.19,5.59,63.4,56.4,46.71,31.04,81.60487287,262.7173405,20.13017482,398,33.16582915,12.06030151,54.77386935,398,0,0,0
5,5,137,36,187,6.5,0.27,0.19,14.19,103.63,55.62,62.27,22.35,83.37011772,251.0549998,23.05804872,360,38.05555556,10,51.94444444,360,0,0,0
6,6,173,62,194,6.3,0.42,0.16,5.9,106.01,47.26,38.41,14.54,82.63941394,271.3248604,22.70883798,429,40.32634033,14.45221445,45.22144522,429,0,0,0
7,7,152,56,218,6.4,0.37,0.27,14.24,107.55,40.8,65.93,14.53,82.89408619,241.9741949,20.27774362,426,35.68075117,13.14553991,51.17370892,426,0,0,0
8,8,143,71,173,6.9,0.19,0.25,7.79,70.8,68.69,51.48,20.04,83.5352163,230.4462359,24.51588066,387,36.95090439,18.34625323,44.70284238,387,0,1,0
9,9,141,20,208,6.6,0.39,0.26,7.49,104.46,29.38,68.91,18.31,83.03322691,221.2091958,23.22397386,369,38.21138211,5.420054201,56.36856369,369,0,0,0
10,10,131,36,209,5.8,0.84,0.22,5.48,79.78,50.38,35.69,41,81.41753846,264.6148697,26.52723513,376,34.84042553,9.574468085,55.58510638,376,0,0,0
11,11,146,43,195,6.7,0.12,0.24,10.2,105.36,66.53,21.74,35.32,81.45061596,250.0832336,23.97898217,384,38.02083333,11.19791667,50.78125,384,0,0,0
12,12,136,78,215,5.8,0.14,0.19,18.22,67.61,56.48,34.25,12.11,80.88684822,284.4364567,26.80079604,429,31.7016317,18.18181818,50.11655012,429,0,1,0
13,13,179,47,213,6.5,0.67,0.25,18.6,68.08,24.23,37.01,33.52,82.05687182,185.2773389,24.01497622,439,40.77448747,10.70615034,48.51936219,439,0,0,0
14,14,170,71,186,6.1,0.27,0.25,12.14,118.34,39.53,31.18,49.54,80.66385045,209.5869708,25.66585205,427,39.81264637,16.62763466,43.55971897,427,0,1,0
15,15,168,52,174,6.9,0.55,0.17,19.96,82.57,33.71,69.05,22.09,80.30025587,231.0863347,24.28209415,394,42.63959391,13.19796954,44.16243655,394,0,0,0
16,16,169,18,217,7.2,0.32,0.27,5.66,70.36,34.26,24.74,44.29,82.7883708,276.6552459,21.58711777,404,41.83168317,4.455445545,53.71287129,404,0,0,0
17,17,153,45,179,5.9,0.74,0.26,19.98,106.26,36.45,42.66,15.54,80.41817957,206.2611855,23.79391957,377,40.58355438,11.93633952,47.4801061,377,0,0,0
18,18,175,38,198,5.7,0.47,0.16,9.63,82.95,46.61,36.59,42.51,80.1923008,224.5550169,21.8652524,411,42.57907543,9.245742092,48.17518248,411,0,0,0
